"","name","chemFormula","cation","anion","chemCation","chemAnion","coeffCation","coeffAnion","MSalt","MCation","MAnion","massPercent","Ks0","densH2O"
"Ammonium carbonate","Ammonium carbonate","(NH4)2CO3","Ammonium","Carbonate","NH4","CO3",2,1,96,18,95.974,NA,NA,0.997048
"Ammonium chloride","Ammonium chloride","NH4Cl","Ammonium","Chloride","NH4","Cl",1,1,53,18,35.45,NA,NA,0.997048
"Ammonium dihydrogen phosphate","Ammonium dihydrogen phosphate","NH4H2PO4","Ammonium","Dihydrogenphosphate","NH4","H2PO4",1,1,115,18,96.974,28.8,NA,0.997048
"Ammonium hydroxide","Ammonium hydroxide","NH4OH","Ammonium","Hydroxide","NH4","OH",1,1,35,18,17,NA,NA,0.997048
"Ammonium molybdate","Ammonium molybdate","(NH4)6Mo7O24 x 4 H2O","Ammonium",NA,"NH4",NA,NA,NA,NA,18,NA,NA,NA,0.997048
"Manganous dihydrogen phosphate","Manganous dihydrogen phosphate","Mn(H2PO4)2 x 2 H2O","Manganese","Dihydrogenphosphate","Mn","H2PO4",1,2,NA,55,96.974,NA,NA,0.997048
"Ammonium nitrate","Ammonium nitrate","NH4NO3","Ammonium","Nitrate","NH4","NO3",1,1,80,18,62,68,NA,0.997048
"Ammonium sulfate","Ammonium sulfate","(NH4)2SO4","Ammonium","Sulfate","NH4","SO4",2,1,132,18,96,43.3,NA,0.997048
"Ammonium sulfid","Ammonium sulfid","(NH4)2S","Ammonium","Sulfid","NH4","S",2,1,NA,18,NA,NA,NA,0.997048
"Boric acid","Boric acid","B(OH)3","Boron","Hydroxide","B","OH",1,3,62,10.81,17,5.48,NA,0.997048
"Calcium carbonate","Calcium carbonate","CaCO3","Calcium","Carbonate","Ca","CO3",1,1,100,40,60,NA,3.36e-09,0.997048
"Calcium chloride","Calcium chloride","CaCl2","Calcium","Chloride","Ca","Cl",1,2,110,40,35.45,44.83,NA,0.997048
"Calcium chloride hexahydrate","Calcium chloride hexahydrate","CaCl2 x 6 H2O","Calcium","Chloride","Ca","Cl",1,2,NA,40,35.45,NA,NA,0.997048
"Calcium hydroxide","Calcium hydroxide","Ca(OH)2","Calcium","Hydroxide","Ca","OH",1,2,74,40,17,NA,5.02e-06,0.997048
"Calcium nitrate","Calcium nitrate","Ca(NO3)2","Calcium","Nitrate","Ca","NO3",1,2,164,40,62,59,NA,0.997048
"Calcium nitrate tetrahydrate","Calcium nitrate tetrahydrate","Ca(NO3)2 x 4 H2O","Calcium","Nitrate","Ca","NO3",1,2,NA,40,62,NA,NA,0.997048
"Calcium oxide","Calcium oxide","CaO","Calcium","Oxide","Ca","O",1,1,56,40,16,NA,NA,0.997048
"Potassium dihydrogen phosphate","Potassium dihydrogen phosphate","KH2PO4","Potassium","Dihydrogenphosphate","K","H2PO4",1,1,136,39,96.974,19.97,NA,0.997048
"Calcium sulfate","Calcium sulfate","CaSO4","Calcium","Sulfate","Ca","SO4",1,1,136,40,96,0.205,4.93e-05,0.997048
"Calcium sulfate dihydrate","Calcium sulfate dihydrate","CaSO4 x 2 H2O","Calcium","Sulfate","Ca","SO4",1,1,172,40,96,NA,3.14e-05,0.997048
"Calcium sulfid","Calcium sulfid","CaS","Calcium","Sulfid","Ca","S",1,1,72,40,32,NA,NA,0.997048
"Copper carbonate","Copper carbonate","CuCO3","Copper","Carbonate","Cu","CO3",1,1,124,63.546,60,NA,NA,0.997048
"Copper chloride","Copper chloride","CuCl2","Copper","Chloride","Cu","Cl",1,2,134,63.546,35.45,43.1,NA,0.997048
