label;replace by
16s rrna;
16s rrna gene;
4 (2 hydroxyethyl) 1 piperazineethanesulfonic acid;
abalone;
abnormal conditions;
aboveground biomass;
absorption;
abundance;
acceptance;
acid environment;
acid tolerance;
acidification;
acidity;
acidobacteria;
acoustics;
actinobacteria;
actuators;
adaptation;
adaptation strategies;
adaptive control systems;
adsorption;
adult;
advanced technology;
aeration;
aerobic digestion;
aerobic metabolism;
aerobic zones;
aerobiosis;
aeroponics;
african catfish;catfish
african catfishes;catfish
aged;
agricultural development;
agricultural engineering;
agricultural industries;
agricultural irrigation;
agricultural land;
agricultural parameters;
agricultural practice;
agricultural practices;
agricultural procedures;
agricultural production;
agricultural production system;
agricultural productions;
agricultural products;
agricultural robots;
agricultural sector;
agricultural sustainability;
agricultural system;
agricultural technology;
agricultural waste;
agricultural wastewater;
agricultural worker;
agriculture;
agriculture productions;
air conditioning;
air pollution control;
alcohol;
alfalfa;
alga;
algae;
algal bacterial based aquaponics;
algal growth;
algal-bacterial consortia;
algal-bacterial-based aquaponics;
algorithm;
algorithms;
alien species;
alkalinity;
allium sativum;
allium schoenoprasum;
alphaproteobacteria;
alternative agriculture;
alternative energy;
alteromonadales;
amaranthaceae;
amaranthus caudatus;
amaranthus tricolor;
amino acids;
ammonia;
ammonia oxidation;
ammonia oxidation bacteria;ammonia oxidizer
ammonia oxidizer;ammonia oxidizer
ammonia oxidizing bacteria;ammonia oxidizer
ammonia oxidizing bacterium;ammonia oxidizer
ammonia-oxidizing bacteria;ammonia oxidizer
ammonium;ammonium compounds
ammonium compounds;ammonium compounds
ammonium derivative;ammonium compounds
ammonium-n;ammonium compounds
amoa gene;
amplicon;
anaerobic digestion;
anaerobic growth;
anaerobiosis;
analysis;
andalucia;
android;
anesthetics;
anger management therapy;
angiosperm;
animal;animals
animal cell;
animal experiment;
animal feed;animal feed
animal food;animal feed
animal tissue;
animal welfare;animal welfare
animalia;animals
animals;animals
annual growth rate;
antennas;
anthropogenic activity;
anthropogenic source;anthropogenic source
anthropogenic sources;anthropogenic source
anti-oxidant activities;antioxidant activity
antioxidant;antioxidant
antioxidant activity;antioxidant activity
antioxidants;antioxidant
aphanizomenon;
apium graveolens;
apium graveolens var. dulce;
applied aquaponics;
aquaculture;aquaculture
aquaculture effluent;
aquaculture effluents;
aquaculture industry;
aquaculture method;
aquaculture production;
aquaculture sludge;
aquaculture sludges;
aquaculture system;
aquaculture systems;
aquaculture wastewater;
aquaphotomics;
aquaponic;aquaponics
aquaponic farming;aquaponics
aquaponic growth factor;
aquaponic system;aquaponics
aquaponic systems;aquaponics
aquaponics;aquaponics
aquaponics plant;
aquaponics recirculation system;aquaponics
aquaponics system;aquaponics
aquaponics wastewater;
aquatic ecosystems;
aquatic environments;
aquatic organisms;
aquatic plant;aquatic plants
aquatic plants;aquatic plants
aquatic toxicology;
aqueous solution;
archaea;
archaeon;
archosargus rhomboidalis;
arcobacter;
arduino;
artemisia annua;
article;
artificial diet;
artificial intelligence;
artificial membrane;
assessment method;
assimilation efficiency;
astacoidea;
atlanta;
atlantic islands;
atlantic ocean;
atmospheric pollution;
australia;
automated systems;
automation;
automation and control;
autotroph;
autotrophy;
availability;
average concentration;
bacilli;bacillus
bacillus;bacillus
bacteria;bacteria
bacteria (microorganisms);bacteria
bacterial colonization;
bacterial communities;bacterial community
bacterial community;bacterial community
bacterial consortium;bacterial community
bacterial count;
bacterial gene;
bacterial genome;
bacterial growth;
bacterial phenomena and functions;
bacterial physiological phenomena;
bacterial rna;
bacterial strain;
bacteriology;
bacterium;bacteria
bacterium identification;
bacterium isolation;
bacteroidetes;
bandpass filters;
basil;basil
batch reactors;
batis maritima;
behavior control;
belarus;
belgium;
beneficial microorganisms;
berlin;
beta vulgaris;
beta vulgaris cicla;
betaproteobacteria;
bft;
big data;
binary metal systems;
binary-metal system;
binding site;
binding sites;
bins;
bio fertilizers;fertilizer
bio-trickling filters;biofilter
bioaccumulation;
bioactive compounds;
bioactivity;
bioavailability;
biochar;
biochemical composition;
biochemical oxygen demand;
biochemistry;
biocontrol;
biocontrol agent;
biodegradation;
biodegradation, environmental;
biodiversity;
bioelectrochemical systems;
biofertilizer;fertilizer
biofilm;biofilm
biofilm formation;biofilm
biofilms;biofilm
biofilter;biofilter
biofilters;biofilter
biofiltration;biofilter
biofloc;biofloc
biofloc technology;biofloc
biofuels;
biogas;
biogeochemistry;
bioinformatics;
biologic nitrogen removal;
biological availability;
biological carriers;
biological control;
biological controls;
biological filters;biofilter
biological materials;
biological method;
biological monitoring;monitoring
biological nutrient removal;
biological oxygen demand analysis;
biological pest control;
biological production;
biological treatment;biofilter
biological water treatment;biofilter
biology;
bioluminescence;bioluminescence
bioluminescent bacteria;bioluminescence
biomarkers;
biomass;biomass production
biomass harvesting;
biomass production;biomass production
biomass productions;biomass production
biomass productivity;
biomedical engineering;
biomineralization;mineralization
biomitigation;
biomonitoring;monitoring
bioponic;
bioponics;
bioreactor;bioreactor
bioreactors;bioreactor
bioremediation;
biosynthesis;
biotechnology;
biotransformation;
bivalve;
blood;
body mass;
body weight gain;weight gain
boron;
brackish water;
brassica;brassica
brassica juncea l;brassica
brassica oleracea;brassica
brassica rapa;brassica
brassica rapa subsp. chinensis;brassica
brazil;
budget control;
cadmium;cadmium
cadmium compounds;cadmium
calcium;calcium
calcium carbonate;
calcium compounds;calcium
calcium ion;calcium
calcium phosphate;
calibration;
california;
callogobius atratus;
cameras;
campylobacterales;
