id	keyword	occurrences	total link strength
4	16s rrna	4	30
5	16s rrna gene	2	74
6	4 (2 hydroxyethyl) 1 piperazineethanesulfonic acid	1	45
13	abalone	2	54
17	abnormal conditions	2	29
18	aboveground biomass	2	39
20	absorption	2	63
22	abundance	2	44
26	acceptance	2	26
34	acid environment	1	41
35	acid tolerance	1	57
36	acidification	2	41
37	acidity	3	86
38	acidobacteria	2	105
45	acoustics	2	37
47	actinobacteria	3	123
50	actuators	6	84
54	adaptation	1	57
55	adaptation strategies	1	57
59	adaptive control systems	2	23
66	adsorption	3	118
69	adult	4	107
72	advanced technology	3	30
74	aeration	4	106
80	aerobic digestion	4	37
82	aerobic metabolism	2	84
83	aerobic zones	1	43
84	aerobiosis	3	89
88	aeroponics	6	36
91	african catfish	13	199
93	african catfishes	2	88
95	aged	1	44
104	agricultural development	2	23
107	agricultural engineering	2	26
110	agricultural industries	2	28
112	agricultural irrigation	2	57
113	agricultural land	4	75
117	agricultural parameters	1	35
119	agricultural practice	1	34
120	agricultural practices	4	62
121	agricultural procedures	6	202
122	agricultural production	5	96
123	agricultural production system	3	39
124	agricultural productions	2	29
126	agricultural products	2	26
130	agricultural robots	35	442
132	agricultural sector	3	38
133	agricultural sustainability	2	26
134	agricultural system	4	44
138	agricultural technology	3	39
139	agricultural waste	1	49
141	agricultural wastewater	2	57
143	agricultural worker	2	37
144	agriculture	64	747
147	agriculture productions	2	30
161	air conditioning	3	33
163	air pollution control	1	42
168	alcohol	1	40
169	alfalfa	1	38
171	alga	2	105
172	algae	11	242
174	algal bacterial based aquaponics	1	51
176	algal growth	1	57
177	algal-bacterial consortia	1	47
178	algal-bacterial-based aquaponics	1	51
179	algorithm	2	51
180	algorithms	1	44
181	alien species	1	44
184	alkalinity	3	131
186	allium sativum	2	33
187	allium schoenoprasum	2	78
190	alphaproteobacteria	3	123
192	alternative agriculture	7	118
193	alternative energy	1	39
196	alteromonadales	1	41
198	amaranthaceae	2	86
200	amaranthus caudatus	2	31
204	amaranthus tricolor	2	33
211	amino acids	3	50
212	ammonia	74	1454
216	ammonia oxidation	2	56
217	ammonia oxidation bacteria	1	51
218	ammonia oxidizer	2	118
219	ammonia oxidizing bacteria	4	122
220	ammonia oxidizing bacterium	2	102
222	ammonia-oxidizing bacteria	1	45
223	ammonium	7	199
225	ammonium compounds	3	158
226	ammonium derivative	2	112
228	ammonium-n	1	46
229	amoa gene	1	47
230	amplicon	2	118
233	anaerobic digestion	7	96
234	anaerobic growth	1	47
236	anaerobiosis	2	52
238	analysis	4	105
246	andalucia	2	28
247	android	4	37
250	anesthetics	1	48
252	anger management therapy	1	40
253	angiosperm	2	69
258	animal	41	1531
259	animal cell	1	57
260	animal experiment	4	176
261	animal feed	2	36
262	animal food	3	80
265	animal tissue	1	38
266	animal welfare	5	69
267	animalia	12	152
268	animals	44	1571
269	annual growth rate	1	48
273	antennas	1	53
274	anthropogenic activity	2	28
276	anthropogenic source	2	62
277	anthropogenic sources	1	48
279	anti-oxidant activities	3	61
281	antioxidant	7	123
282	antioxidant activity	2	40
284	antioxidants	5	93
290	aphanizomenon	1	57
291	apium graveolens	2	28
292	apium graveolens var. dulce	2	27
301	applied aquaponics	2	25
308	aquaculture	208	3663
310	aquaculture effluent	20	530
311	aquaculture effluents	5	119
313	aquaculture industry	11	274
315	aquaculture method	8	122
316	aquaculture production	16	193
317	aquaculture sludge	1	33
318	aquaculture sludges	2	52
320	aquaculture system	36	532
321	aquaculture systems	12	195
324	aquaculture wastewater	10	164
330	aquaphotomics	5	69
331	aquaponic	105	1286
336	aquaponic farming	3	22
338	aquaponic growth factor	2	32
342	aquaponic system	100	1419
343	aquaponic systems	6	69
346	aquaponics	429	4893
351	aquaponics plant	1	45
353	aquaponics recirculation system	5	29
357	aquaponics system	13	91
359	aquaponics wastewater	1	43
364	aquatic ecosystems	1	35
367	aquatic environments	4	91
370	aquatic organisms	2	25
372	aquatic plant	13	261
373	aquatic plants	3	93
376	aquatic toxicology	1	57
378	aqueous solution	1	48
382	archaea	3	126
383	archaeon	3	126
388	archosargus rhomboidalis	2	27
389	arcobacter	1	41
390	arduino	7	47
398	artemisia annua	2	45
400	article	50	1971
401	artificial diet	6	150
405	artificial intelligence	8	76
410	artificial membrane	1	45
419	assessment method	2	32
420	assimilation efficiency	1	47
422	astacoidea	3	45
427	atlanta	1	47
428	atlantic islands	1	36
429	atlantic ocean	1	36
430	atmospheric pollution	1	48
436	australia	2	25
446	automated systems	3	35
451	automation	27	305
452	automation and control	2	30
460	autotroph	1	58
461	autotrophy	1	48
462	availability	2	61
464	average concentration	2	43
478	bacilli	1	61
480	bacillus	4	100
484	bacteria	39	1109
485	bacteria (microorganisms)	26	576
487	bacterial colonization	1	37
488	bacterial communities	5	37
489	bacterial community	2	40
490	bacterial consortium	1	47
491	bacterial count	2	31
492	bacterial gene	1	38
493	bacterial genome	1	61
494	bacterial growth	2	63
497	bacterial phenomena and functions	1	44
498	bacterial physiological phenomena	1	44
499	bacterial rna	1	61
500	bacterial strain	2	89
501	bacteriology	4	127
502	bacterium	26	784
503	bacterium identification	1	45
504	bacterium isolation	1	45
505	bacteroidetes	3	79
509	bandpass filters	1	53
515	basil	14	161
517	batch reactors	1	33
518	batis maritima	2	40
526	behavior control	1	40
527	belarus	1	44
528	belgium	1	44
531	beneficial microorganisms	3	46
534	berlin	2	25
536	beta vulgaris	5	68
537	beta vulgaris cicla	7	114
538	betaproteobacteria	3	123
539	bft	4	39
541	big data	5	65
545	binary metal systems	1	49
546	binary-metal system	1	49
547	binding site	1	49
548	binding sites	1	49
549	bins	1	49
551	bio fertilizers	3	57
557	bio-trickling filters	1	43
558	bioaccumulation	2	95
559	bioactive compounds	2	37
560	bioactivity	2	33
563	bioavailability	3	94
564	biochar	4	118
566	biochemical composition	3	54
568	biochemical oxygen demand	20	434
572	biochemistry	5	95
576	biocontrol	3	24
577	biocontrol agent	2	24
580	biodegradation	4	160
581	"biodegradation, environmental"	1	49
584	biodiversity	8	199
590	bioelectrochemical systems	1	43
594	biofertilizer	4	57
595	biofilm	9	310
596	biofilm formation	1	38
597	biofilms	4	134
598	biofilter	13	211
600	biofilters	13	255
601	biofiltration	22	394
602	biofloc	9	101
603	biofloc technology	4	35
606	biofuels	2	26
607	biogas	4	68
611	biogeochemistry	2	71
613	bioinformatics	3	36
615	biologic nitrogen removal	1	43
617	biological availability	1	48
618	biological carriers	1	57
620	biological control	4	43
622	biological controls	2	30
626	biological filters	6	89
629	biological materials	3	102
630	biological method	1	56
631	biological monitoring	1	57
632	biological nutrient removal	3	67
634	biological oxygen demand analysis	1	45
636	biological pest control	1	38
638	biological production	3	91
643	biological treatment	1	56
645	biological water treatment	4	83
646	biology	1	44
648	bioluminescence	1	57
649	bioluminescent bacteria	1	57
650	biomarkers	4	98
651	biomass	47	1066
652	biomass harvesting	1	34
653	biomass production	4	137
654	biomass productions	3	84
655	biomass productivity	2	71
659	biomedical engineering	3	36
661	biomineralization	2	43
662	biomitigation	1	53
663	biomonitoring	3	83
666	bioponic	2	58
667	bioponics	2	61
669	bioreactor	7	230
670	bioreactors	5	148
672	bioremediation	11	220
679	biosynthesis	1	38
682	biotechnology	14	191
683	biotransformation	2	35
685	bivalve	1	34
686	blood	4	61
697	body mass	4	110
699	body weight gain	2	94
702	boron	1	49
703	brackish water	5	48
706	brassica	3	81
708	brassica juncea l	3	46
709	brassica oleracea	2	28
712	brassica rapa	2	28
713	brassica rapa subsp. chinensis	9	228
717	brazil	5	37
724	budget control	2	36
750	cadmium	1	49
751	cadmium compounds	1	49
753	calcium	4	107
755	calcium carbonate	1	34
756	calcium compounds	1	36
757	calcium ion	2	98
758	calcium phosphate	1	48
759	calibration	3	57
760	california	2	55
762	callogobius atratus	2	41
765	cameras	2	20
766	campylobacterales	1	41
767	canna glauca	2	42
768	cannabinoids	2	39
770	cannabis sativa	2	47
771	cannabis sativa l.	1	35
777	capitata	2	37
778	capsicum annuum	2	44
784	carassius auratus	5	74
787	carbohydrate	2	44
788	carbohydrates	2	25
789	carbon	9	364
790	carbon dioxide	2	61
793	carbon footprint	3	76
794	carbon loadings	1	58
796	carbon source	1	42
798	carbonization	1	47
803	caribbean islands	1	36
805	carolina	1	36
806	"carolina, puerto rico"	1	36
808	carp	13	328
809	carps	6	169
813	case-studies	2	29
818	catfish	15	369
820	catfishes	2	99
821	cation	1	48
822	cations	1	48
824	cattle farming	2	49
833	cell engineering	2	36
834	cell phagocytosis	1	61
839	cellulose	2	59
840	cellvibrio	1	56
841	centella asiatica	3	48
844	ceramic rings	1	34
846	ceratophyllum demersum	2	80
847	certification	2	23
848	cetobacterium	1	38
854	charcoal	3	112
860	chelation	1	49
861	chemical analysis	3	78
863	chemical composition	2	70
864	chemical compositions	1	48
865	chemical compound	1	44
868	chemical contamination	5	72
870	chemical fertilizers	2	45
873	chemical mass balance	2	66
874	chemical model	1	48
875	chemical oxygen demand	6	206
880	chemistry	17	637
881	chenopodiaceae	2	86
885	chicken	1	56
886	chicken manure	1	56
887	chickens	1	56
889	chicory	1	35
891	china	3	35
892	chinese hamster ovary	1	57
894	chlorella	1	57
895	chlorella ellipsoidea	1	57
897	chlorella sp.	2	73
898	chlorophyll	5	72
899	chlorophyll a	2	78
900	chlorophyll contents	1	34
903	chloroplast	1	61
904	chloroplast dna	1	38
907	cho cell line	1	57
908	cho cells	1	57
909	"chromatography, liquid"	1	45
910	chromium	1	46
913	cichlid	42	740
920	circadian rhythm	1	47
922	circular bioeconomy	1	43
924	circular economy	8	59
926	circulating waters	1	57
927	circulation flow rate	1	45
931	cities	3	31
933	city	2	28
936	clam	1	48
938	clarias	1	44
939	clarias gariepinus	15	246
941	classification	2	60
950	climate	2	62
951	climate change	22	354
957	climate models	3	47
961	climatic conditions	2	22
963	climatic region	1	44
969	closed loop systems	2	30
973	cloud	2	37
979	clouds	2	37
982	clustering	2	18
984	co-cultivation	2	71
985	coal industry	2	27
993	coconut fiber	1	46
996	coculture	1	57
999	cold weather	2	27
1000	coliform bacteria	2	58
1007	color	1	36
1008	colossoma macropomum	2	20
1011	comammox	2	79
1017	commerce	9	126
1018	commercial activity	2	31
1026	commercial species	4	65
1030	common carp	7	100
1036	community analysis	3	102
1043	community structure	3	65
1049	comparative study	14	363
1053	competitive sorption	1	49
1057	completely randomized designs	5	42
1065	composting	3	29
1069	computational biology	1	44
1070	computational fluid dynamics	2	53
1071	computational intelligence	4	27
1073	computational speed	1	44
1075	computer aided design	2	22
1077	computer circuits	3	26
1078	computer interface	1	44
1079	computer model	1	48
1080	computer program	1	44
1081	computer simulation	3	46
1082	computer system firewalls	3	34
1085	computer vision	7	77
1088	concentration (composition)	28	544
1089	concentration (parameter)	3	117
1090	concentration (parameters)	2	95
1091	concentration at steady-state	1	61
1096	conceptual model	2	24
1098	condition factor	2	38
1099	conductance	2	94
1103	conservation of water resources	2	69
1108	constructed wetland	5	132
1109	constructed wetlands	2	32
1118	consumer behavior	2	26
1120	consumers	2	29
1123	consumption behavior	2	29
1125	containers	3	31
1126	contaminated water	1	43
1127	contamination	1	38
1135	control	6	78
1140	control and optimization	2	26
1142	control engineering	4	56
1146	control systems	4	48
1148	controlled conditions	2	34
1149	controlled environment	5	80
1150	controlled environment agriculture	2	48
1152	controlled environment agricultures	5	88
1153	controlled study	24	1065
1156	controllers	2	21
1160	conventional agricultures	2	30
1161	conventional methods	2	28
1165	conversion ratio	2	58
