Id;Type;Month;Pond;C14:0;C14:1;C16:0;C18:0;C18:1;LIN;GLA;ALA;SDA;ARA;EPA;DHA;FAME;LCPUFA;SCPUFA;SFA;MUFA;PUFA;BFA;TFA;n3;n6;dw;filter;;;;TL
B72;Insect;August;Durn;4.873539224;0;9.268493591;3.606992249;8.450213764;6.118452083;0.048556288;6.697553804;2.195851352;0.942553834;2.68967425;0.065196814;51.02;3.906967791;15.06041353;18.86860854;12.80457511;18.96738132;3.180954841;0.59168284;11.78836011;7.179021206;;;;;;
B73;Insect;August;Durn;1.976234634;0;8.711968994;3.532085383;6.293393295;3.507673902;0.069110791;2.478500466;0.344186639;0.226976842;0.539747452;0;31.14;0.804157353;6.399471799;15.21266038;8.236931444;7.203629152;2.770744267;0.498459574;3.386383681;3.817245471;;;;;;
B70;Insect;August;Ger;1.354925636;0;10.20061342;3.329129445;5.399279701;6.833699893;0.584538681;7.692838598;0.723862368;1.731246285;6.747309947;0.107659285;51.68;9.183838558;15.83493954;16.58933782;9.555490026;25.0187781;2.638899903;0.528732452;15.52973039;9.489047709;;;;;;
B74;Insect;August;Kieb;2.445200961;0.013770352;9.222617909;3.379836286;8.344433552;1.884283176;0.085311686;2.427093303;0.363090444;0.354637024;0.493302475;0.04020917;32.07;0.956869799;4.75977861;15.86168656;10.29051128;5.71664841;2.662619461;0.269314151;3.361748199;2.35490021;;;;;;
B71;Insect;August;NL;0.838874787;0.045977403;4.545810667;1.675464959;3.727744986;3.438774179;0.096193573;2.02265281;0.367180068;0.630044284;1.376898316;0.044545549;21.91;2.155590771;5.92480063;8.476201846;5.088582114;8.080391402;1.948421177;0.904044845;3.870322431;4.210068971;;;;;;
B66;Insect;August;Dach;4.507384792;0;18.92922718;5.877607736;16.27315837;3.734849591;0.338028719;3.396696028;0.614400689;1.081417088;2.545868252;0.10497979;63.81;3.8821216;8.083975026;30.75413869;20.23949403;11.96609663;3.838052727;0.462311359;6.746872142;5.219224484;;;;;;
B67;Insect;August;Dach;0.895019962;0;4.814619193;2.021713152;6.504414738;4.006786099;0.259777881;2.83983628;0.261139255;0.91351874;2.799565013;0.03300061;27.42;3.825513973;7.367539516;8.427975679;7.525407353;11.19305349;1.926870784;0.354291668;5.982013921;5.211039567;;;;;;
B63;Insect;August;Eng;1.297297928;0;14.00086796;4.868155498;12.49873747;7.539168843;0.249268759;5.647990259;0.566016098;0.852019968;2.043623035;0;56.84;3.040899476;14.00244396;21.87462341;16.94841045;17.04334344;4.458064091;0.455187511;8.328086618;8.715256818;;;;;;
B64;Insect;August;Eng;1.095379298;0;11.1808294;3.289781261;8.173354175;7.966301142;0.04305188;8.642958205;1.140235942;1.192328312;5.423305494;0;53.63;6.799530124;17.79254717;16.93512832;11.48022242;24.59207729;2.486083849;0.503607442;15.35546966;9.236607636;;;;;;
B65;Insect;August;Eng;0.333907205;0;4.096540154;1.953352817;4.167320283;5.501881201;0.087830835;1.685740152;0.085943128;0.998359917;1.53690916;0;23.28;2.58736009;7.361395316;7.279133326;5.652843672;9.948755405;1.782212898;0.370094823;3.337749474;6.611005931;;;;;;
