Reference_ID,Treatment_ID,tankV_m3,tankN,totalV_m3,density_kg_m3,biomass_kg,exchRate,FR,CP,rearingV_m3,dailyFeed_kg_d,freshwater_m3_d,waterExPerFeed_L_kg
Seawright1998,1,NA,NA,0.325,0.464615384615385,0.151,0,0.05,0.41600000000000004,NA,0.00755,0,0
Seawright1998,2,NA,NA,0.325,1.16,0.377,0,0.05,0.41600000000000004,NA,0.018850000000000002,0,0
Seawright1998,3,NA,NA,0.325,2.77538461538462,0.902,0,0.05,0.41600000000000004,NA,0.0451,0,0
Seawright1998,4,NA,NA,0.325,5.55076923076923,1.804,0,0.05,0.41600000000000004,NA,0.0902,0,0
Shaw2022a,FM,0.16,1,0.16,2.11875,0.339,0.05,0.025,0.40299999999999997,0.16,0.008475000000000002,0.008,943.9528023598818
Shaw2022a,BSF,0.16,1,0.16,2.1075,0.3372,0.05,0.025,0.4035,0.16,0.00843,0.008,948.9916963226572
Shaw2022a,PBM,0.16,1,0.16,2.090625,0.3345,0.05,0.025,0.409,0.16,0.0083625,0.008,956.6517189835575
Shaw2022a,PM,0.16,1,0.16,2.13,0.3408,0.05,0.025,0.43700000000000006,0.16,0.00852,0.008,938.9671361502348
Goddek2016,AER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goddek2016,ANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monsees2017b,RAS A,1.7,4,16.5,4,27.2,0.053,0.015,0.37,6.8,0.408,0.8744999999999999,2143.3823529411766
Monsees2017b,RAS C+Hydro C,1.7,4,16.5,4,27.2,0.028999999999999998,0.015,0.37,6.8,0.408,0.4785,1172.794117647059
Monsees2017b,RAS D/Hydro D,1.7,4,16.5,4,27.2,0.027999999999999997,0.015,0.37,6.8,0.408,0.46199999999999997,1132.3529411764705
Siqwepu2020,FeSO4-20,0.1,3,0.3,0.37,0.111,NA,NA,0.37,0.30000000000000004,NA,NA,NA
Siqwepu2020,FeSO4-30,0.1,3,0.3,0.376666666666667,0.113,NA,NA,0.37,0.30000000000000004,NA,NA,NA
Siqwepu2020,FeSO4-60,0.1,3,0.3,0.363333333333333,0.109,NA,NA,0.38,0.30000000000000004,NA,NA,NA
