"","nutrient","mgL","belowLimit"
"1","NH4",0.05,TRUE
"2","NO2",0.03,TRUE
"3","NO3",4.6,FALSE
"4","PO4",0.02,FALSE
"5","K",6.2,FALSE
"6","Ca",117,FALSE
"7","Mg",13.5,FALSE
"8","SO4",166,FALSE
"9","Fe",0.05,TRUE
"10","Zn",0.01,TRUE
"11","Cu",0.005,TRUE
"12","Mn",0.01,TRUE
"13","B",0.075,FALSE
"14","Ni",0.003,TRUE
"15","Na",43,FALSE
"16","Cl",67,FALSE
"17","Al",0.01,TRUE
"18","TOC",3.6,FALSE
"19","NH4",0.11,FALSE
"20","NO3",10.1,FALSE
"21","K",4.55,FALSE
"22","Ca",110,FALSE
"23","Mg",9.69,FALSE
"24","SO4",87.4,FALSE
"25","Fe",0.02,TRUE
"26","Mn",0.005,TRUE
"27","Na",35.6,FALSE
"28","Cl",63.8,FALSE
"29","TOC",3.7,FALSE
"30","NH4",0.05,TRUE
"31","NO2",0.02,TRUE
"32","NO3",16,FALSE
"33","K",1.5,FALSE
"34","Ca",112,FALSE
"35","Mg",9.9,FALSE
"36","SO4",65,FALSE
"37","Fe",0.03,FALSE
"38","Cu",0.01,TRUE
"39","Mn",0.01,TRUE
"40","B",0.07,TRUE
"41","Ni",0.001,TRUE
"42","Na",20,FALSE
"43","Cl",41,FALSE
"44","Al",0.01,TRUE
"45","TOC",0.5,FALSE
"46","NH4",0.05,TRUE
"47","NO2",0.01,TRUE
"48","NO3",2.6,FALSE
"49","K",6.1,FALSE
"50","Ca",98.5,FALSE
"51","Mg",14.1,FALSE
"52","SO4",206,FALSE
"53","Fe",0.0312,FALSE
"54","Cu",0.005,TRUE
"55","Mn",0.005,TRUE
"56","B",0.05,TRUE
"57","Ni",5e-04,TRUE
"58","Na",20.4,FALSE
"59","Cl",47.2,FALSE
"60","Al",0.02,TRUE
"61","TOC",3.2,FALSE
"62","NH4",0.05,TRUE
"63","NO2",0.01,TRUE
"64","NO3",1.6,FALSE
"65","K",4.7,FALSE
"66","Ca",60,FALSE
"67","Mg",9.1,FALSE
"68","SO4",127,FALSE
"69","Fe",0.0378,FALSE
"70","Cu",0.005,TRUE
"71","Mn",0.005,TRUE
"72","B",0.05,TRUE
"73","Ni",0.00091,FALSE
"74","Na",20.9,FALSE
"75","Cl",42.4,FALSE
"76","Al",0.02,TRUE
"77","TOC",2.4,FALSE
"78","NH4",0.05,TRUE
"79","NO2",0.01,TRUE
"80","NO3",8.8,FALSE
"81","K",1.1,FALSE
"82","Ca",21.9,FALSE
"83","Mg",3.4,FALSE
"84","SO4",26.4,FALSE
"85","Fe",0.0152,FALSE
"86","Cu",0.005,TRUE
"87","Mn",0.005,TRUE
"88","B",0.02,TRUE
"89","Ni",0.00052,FALSE
"90","Na",10,FALSE
"91","Cl",19.3,FALSE
"92","Al",0.02,TRUE
"93","TOC",2.4,FALSE
"94","NH4",0.1,TRUE
"95","NO2",0.01,TRUE
"96","NO3",1.61,FALSE
"97","K",1.02,FALSE
"98","Ca",47.6,FALSE
"99","Mg",3.54,FALSE
"100","SO4",15.5,FALSE
"101","Fe",0.01,TRUE
"102","Cu",0.045,FALSE
"103","Mn",0.005,TRUE
"104","B",0.02,TRUE
"105","Ni",0.005,TRUE
"106","Na",9.5,FALSE
"107","Cl",13,FALSE
"108","NH4",0.1,TRUE
"109","NO2",0.01,TRUE
"110","NO3",0.64,FALSE
"111","K",1.26,FALSE
"112","Ca",39.7,FALSE
"113","Mg",3.06,FALSE
"114","SO4",40.4,FALSE
"115","Fe",0.02,TRUE
"116","Cu",0.042,FALSE
"117","Mn",0.005,TRUE
"118","B",0.02,TRUE
"119","Ni",0.005,TRUE
"120","Na",17.9,FALSE
"121","Cl",25.7,FALSE
"122","NH4",0.1,TRUE
"123","NO2",0.01,TRUE
"124","NO3",0.22,FALSE
"125","K",1.51,FALSE
"126","Ca",62,FALSE
"127","Mg",3.6,FALSE
"128","SO4",33.1,FALSE
"129","Fe",0.02,TRUE
"130","Cu",0.061,FALSE
"131","Mn",0.005,TRUE
"132","B",0.02,FALSE
"133","Ni",0.005,TRUE
"134","Na",19.8,FALSE
"135","Cl",31.7,FALSE
"136","NH4",0.1,TRUE
"137","NO2",0.01,TRUE
"138","NO3",0.07,FALSE
"139","K",0.97,FALSE
"140","Ca",45.6,FALSE
"141","Mg",2.36,FALSE
"142","SO4",22.9,FALSE
"143","Fe",0.01,TRUE
"144","Cu",0.626,FALSE
"145","Mn",0.005,TRUE
"146","B",0.01,FALSE
"147","Ni",0.005,TRUE
"148","Na",9.3,FALSE
"149","Cl",15.4,FALSE
"150","NH4",0.1,TRUE
"151","NO2",0.01,TRUE
"152","NO3",0.97,FALSE
"153","K",2.64,FALSE
"154","Ca",58.7,FALSE
"155","Mg",6.54,FALSE
"156","SO4",8.3,FALSE
"157","Fe",0.02,TRUE
"158","Cu",0.171,FALSE
"159","Mn",0.005,TRUE
"160","B",0.06,FALSE
"161","Ni",0.005,TRUE
"162","Na",25.1,FALSE
"163","Cl",31.6,FALSE
"164","NH4",0.007,FALSE
"165","NO2",0.002,FALSE
"166","NO3",3.6,FALSE
"167","PO4",0.004,FALSE
"168","K",1.1,FALSE
"169","Ca",48.2,FALSE
"170","Mg",6.6,FALSE
"171","SO4",14.4,FALSE
"172","Fe",0.005,TRUE
"173","Zn",0.001,TRUE
"174","Cu",0.005,TRUE
"175","Mn",5e-04,TRUE
"176","B",0.008,FALSE
"177","Mo",5e-04,FALSE
"178","Ni",5e-04,TRUE
"179","Na",6.4,FALSE
"180","Cl",6.4,FALSE
"181","NO2",0.01,TRUE
"182","NO3",5,FALSE
"183","K",2,FALSE
"184","Ca",70,FALSE
"185","Mg",22,FALSE
"186","SO4",35,FALSE
"187","Fe",0.01,TRUE
"188","Mn",0.01,TRUE
"189","Cl",21,FALSE
"190","NO2",0.01,TRUE
"191","NO3",1,FALSE
"192","K",1,FALSE
"193","Ca",18,FALSE
"194","Mg",7,FALSE
"195","SO4",12,FALSE
"196","Fe",0.13,FALSE
"197","Mn",0.01,TRUE
"198","Cl",2,FALSE
"199","NO2",0.01,TRUE
"200","NO3",4,FALSE
"201","K",2,FALSE
"202","Ca",68,FALSE
"203","Mg",20,FALSE
"204","SO4",12,FALSE
"205","Fe",0.01,TRUE
"206","Mn",0.01,TRUE
"207","Cl",2,FALSE
"208","NO2",0.01,TRUE
"209","NO3",6,FALSE
"210","K",2,FALSE
"211","Ca",79,FALSE
"212","Mg",19,FALSE
"213","SO4",14,FALSE
"214","Fe",0.01,TRUE
"215","Mn",0.01,TRUE
"216","Cl",7,FALSE
"217","NH4",0.1,TRUE
"218","NO2",0.01,TRUE
"219","NO3",0.81,FALSE
"220","PO4",0.1,TRUE
"221","K",1.56,FALSE
"222","Ca",102,FALSE
"223","Mg",8.02,FALSE
"224","SO4",79.5,FALSE
"225","Fe",0.02,TRUE
"226","Cu",0.01,TRUE
"227","Mn",0.005,TRUE
"228","B",0.02,FALSE
"229","Ni",0.005,TRUE
"230","Na",17.8,FALSE
"231","Cl",48.4,FALSE
"232","Al",0.02,TRUE
"233","TOC",1.3,FALSE
"234","NH4",0.15,TRUE
"235","NO2",0.02,TRUE
"236","NO3",5,TRUE
"237","PO4",0.3,TRUE
"238","K",11.4,FALSE
"239","Ca",69,FALSE
"240","Mg",25.2,FALSE
"241","SO4",145.6,FALSE
"242","Fe",0.04,TRUE
"243","Zn",0.02,TRUE
"244","Cu",0.01,TRUE
"245","Mn",0.01,TRUE
"246","B",0.1693,FALSE
"247","Mo",0.002,TRUE
"248","Ni",0.004,TRUE
"249","Na",85.6,FALSE
"250","Cl",55.75,FALSE
"251","Al",0.02,TRUE
"252","TOC",2,TRUE
"253","PO4",4e-04,TRUE
"254","K",0.243,FALSE
"255","Ca",7.96,FALSE
"256","Mg",0.955,FALSE
"257","Fe",0.0195,FALSE
"258","Zn",5e-04,TRUE
"259","Cu",0.000792,FALSE
"260","Mn",0.0024,FALSE
"261","Mo",5e-04,TRUE
"262","Ni",2e-04,TRUE
"263","Na",2.36,FALSE
"264","Cl",3.4,FALSE
"265","Al",0.0133,FALSE
"266","TOC",0.8,FALSE
"267","NO3",2.785,FALSE
"268","PO4",0.806,FALSE
"269","K",1.79,FALSE
"270","Ca",30.8,FALSE
"271","Mg",3.32,FALSE
"272","SO4",3.959,FALSE
"273","Fe",0.0109,FALSE
"274","Zn",0.0989,FALSE
"275","Cu",0.005,TRUE
"276","Mn",0.001,TRUE
"277","B",0.0148,FALSE
"278","Mo",0.005,TRUE
"279","Ni",0.0138,FALSE
"280","Na",6.66,FALSE
"281","NO3",0.75,FALSE
"282","PO4",2,FALSE
"283","K",1,FALSE
"284","Ca",9,FALSE
"285","Mg",2.7,FALSE
"286","SO4",7,FALSE
"287","Fe",0.029,FALSE
"288","Cu",0.007,FALSE
"289","Mn",0.017,FALSE
"290","Na",17,FALSE
"291","Cl",25,FALSE
"292","Al",0.02,FALSE
"293","TOC",1.7,FALSE
"294","NO3",36.3,FALSE
"295","Ca",113,FALSE
"296","SO4",23.3,FALSE
"297","Na",8.9,FALSE
"298","NH4",0.05,TRUE
"299","NO2",0.02,TRUE
"300","NO3",5.24,FALSE
"301","SO4",43.7,FALSE
"302","Fe",0.02,TRUE
"303","Cu",0.01,TRUE
"304","Mn",0.01,TRUE
"305","B",0.05,FALSE
"306","Ni",0.002,TRUE
"307","Na",20.98,FALSE
"308","Cl",31.9,FALSE
"309","Al",0.0619,FALSE
"310","TOC",2.79,FALSE
"311","NH4",0.05,TRUE
"312","NO2",0.02,TRUE
"313","NO3",5.28,FALSE
"314","SO4",40.8,FALSE
"315","Fe",0.02,TRUE
"316","Cu",0.01,TRUE
"317","Mn",0.01,TRUE
"318","B",0.04,FALSE
"319","Ni",0.002,TRUE
"320","Na",20.7,FALSE
"321","Cl",31.4,FALSE
"322","Al",0.049,FALSE
"323","TOC",2.68,FALSE
"324","NH4",0.05,TRUE
"325","NO2",0.02,TRUE
"326","NO3",5.16,FALSE
"327","SO4",40.1,FALSE
"328","Fe",0.02,TRUE
"329","Cu",0.01,TRUE
"330","Mn",0.01,TRUE
"331","B",0.05,FALSE
"332","Ni",0.002,TRUE
"333","Na",21.1,FALSE
"334","Cl",32.5,FALSE
"335","Al",0.1085,FALSE
"336","TOC",2.63,FALSE
"337","NH4",0.05,TRUE
"338","NO2",0.02,TRUE
"339","NO3",4.88,FALSE
"340","SO4",18.1,FALSE
"341","Fe",0.02,TRUE
"342","Cu",0.01,TRUE
"343","Mn",0.01,TRUE
"344","B",0.02,FALSE
"345","Ni",0.00222,FALSE
"346","Na",14.2,FALSE
"347","Cl",45.8,FALSE
"348","Al",0.02,TRUE
"349","TOC",1.84,FALSE
"350","NH4",0.05,TRUE
"351","NO2",0.02,TRUE
"352","NO3",5.52,FALSE
"353","SO4",21.1,FALSE
"354","Fe",0.0279,FALSE
"355","Cu",0.01,TRUE
"356","Mn",0.01,TRUE
"357","B",0.04,FALSE
"358","Ni",0.00467,FALSE
"359","Na",16.4,FALSE
"360","Cl",50.7,FALSE
"361","Al",0.02,TRUE
"362","TOC",1.88,FALSE
"363","NH4",0.05,TRUE
"364","NO2",0.02,TRUE
"365","NO3",5.49,FALSE
"366","SO4",65.8,FALSE
"367","Fe",0.02,TRUE
"368","Cu",0.01,TRUE
"369","Mn",0.01,TRUE
"370","B",0.04,FALSE
"371","Ni",0.002,TRUE
"372","Na",61.7,FALSE
"373","Cl",99.9,FALSE
"374","Al",0.0226,FALSE
"375","TOC",3.41,FALSE
"376","NH4",0.05,TRUE
"377","NO2",0.02,TRUE
"378","NO3",2.12,FALSE
"379","SO4",47.2,FALSE
"380","Fe",0.02,TRUE
"381","Cu",0.01,TRUE
"382","Mn",0.01,TRUE
"383","B",0.02,FALSE
"384","Ni",0.002,TRUE
"385","Na",19.4,FALSE
"386","Cl",33.2,FALSE
"387","Al",0.0324,FALSE
"388","TOC",2.68,FALSE
"389","NH4",0.05,TRUE
"390","NO2",0.02,TRUE
"391","NO3",3.31,FALSE
"392","SO4",28.8,FALSE
"393","Fe",0.02,TRUE
"394","Cu",0.01,TRUE
"395","Mn",0.01,TRUE
"396","B",0.04,FALSE
"397","Ni",0.00424,FALSE
"398","Na",17,FALSE
"399","Cl",45.3,FALSE
"400","Al",0.0216,FALSE
"401","TOC",2.21,FALSE
"402","NH4",0.05,TRUE
"403","NO2",0.02,TRUE
"404","NO3",1.77,FALSE
"405","SO4",41.8,FALSE
"406","Fe",0.02,TRUE
"407","Cu",0.01,TRUE
"408","Mn",0.01,TRUE
"409","B",0.02,FALSE
"410","Ni",0.002,TRUE
"411","Na",20.5,FALSE
"412","Cl",33.5,FALSE
"413","Al",0.0674,FALSE
"414","TOC",2.95,FALSE
"415","NH4",0.05,TRUE
"416","NO2",0.02,TRUE
"417","NO3",0.92,FALSE
"418","SO4",39.9,FALSE
"419","Fe",0.02,TRUE
"420","Cu",0.01,TRUE
"421","Mn",0.01,TRUE
"422","B",0.02,FALSE
"423","Ni",0.002,TRUE
"424","Na",20,FALSE
"425","Cl",32.2,FALSE
"426","Al",0.0358,FALSE
"427","TOC",3.11,FALSE
"428","NH4",0.05,TRUE
"429","NO2",0.02,TRUE
"430","NO3",1.11,FALSE
"431","SO4",37.1,FALSE
"432","Fe",0.02,TRUE
"433","Cu",0.01,TRUE
"434","Mn",0.01,TRUE
"435","B",0.05,FALSE
"436","Ni",0.002,TRUE
"437","Na",18.3,FALSE
"438","Cl",31.7,FALSE
"439","Al",0.0404,FALSE
"440","TOC",2.75,FALSE
"441","NH4",0.05,TRUE
"442","NO2",0.02,TRUE
"443","NO3",1.17,FALSE
"444","SO4",101.4,FALSE
"445","Fe",0.02,TRUE
"446","Cu",0.01,TRUE
"447","Mn",0.01,TRUE
"448","B",0.08,FALSE
"449","Ni",0.00255,FALSE
"450","Na",68.4,FALSE
"451","Cl",110.5,FALSE
"452","Al",0.0479,FALSE
"453","TOC",3.58,FALSE
"454","NH4",1.2,FALSE
"455","NO2",0.02,TRUE
"456","NO3",27.9,FALSE
"457","PO4",1.94444444444444,FALSE
"458","NH4",10,TRUE
"459","NO2",0.2,TRUE
"460","NO3",14.09,FALSE
"461","PO4",0.4,TRUE
"462","K",1.55,FALSE
"463","Ca",92.37,FALSE
"464","Mg",17.43,FALSE
"465","SO4",25.8,FALSE
"466","Fe",0.02966,FALSE
"467","Cu",0.005,TRUE
"468","Mn",0.02,TRUE
"469","B",0.0786,FALSE
"470","Ni",0.001,TRUE
"471","Na",16.65,FALSE
"472","Cl",21.74,FALSE
"473","Al",0.004,TRUE
"474","TOC",0.9,FALSE
"475","NH4",10,TRUE
"476","NO2",0.2,TRUE
"477","NO3",14.27,FALSE
"478","PO4",0.4,TRUE
"479","K",1.59,FALSE
"480","Ca",93.75,FALSE
"481","Mg",17.35,FALSE
"482","SO4",25.71,FALSE
"483","Fe",0.02968,FALSE
"484","Cu",0.005,TRUE
"485","Mn",0.02,TRUE
"486","B",0.07324,FALSE
"487","Ni",0.001,TRUE
"488","Na",16.91,FALSE
"489","Cl",22.12,FALSE
"490","Al",0.004,TRUE
"491","TOC",1.3,FALSE
"492","NH4",10,TRUE
"493","NO2",0.2,TRUE
"494","NO3",10.94,FALSE
"495","PO4",0.4,TRUE
"496","K",1,TRUE
"497","Ca",68.42,FALSE
"498","Mg",30.7,FALSE
"499","SO4",32.22,FALSE
"500","Fe",0.02217,FALSE
"501","Cu",0.005,TRUE
"502","Mn",0.0771,FALSE
"503","B",0.05126,FALSE
"504","Ni",0.00249,FALSE
"505","Na",14.07,FALSE
"506","Cl",15.4,FALSE
"507","Al",0.004,TRUE
"508","TOC",0.73,FALSE
"509","NH4",10,TRUE
"510","NO2",0.2,TRUE
"511","NO3",2.71,FALSE
"512","PO4",0.4,TRUE
"513","K",2.05,FALSE
"514","Ca",114.28,FALSE
"515","Mg",26.63,FALSE
"516","SO4",33.2,FALSE
"517","Fe",0.0814,FALSE
"518","Cu",0.005,TRUE
"519","Mn",0.02,TRUE
"520","B",0.20017,FALSE
"521","Ni",0.00198,FALSE
"522","Na",18.07,FALSE
"523","Cl",21.6,FALSE
"524","Al",0.004,TRUE
"525","TOC",0.25,TRUE
"526","NH4",10,TRUE
"527","NO2",0.2,TRUE
"528","NO3",2.66,FALSE
"529","PO4",0.4,TRUE
"530","K",2.68,FALSE
"531","Ca",129.7,FALSE
"532","Mg",30.37,FALSE
"533","SO4",39.32,FALSE
"534","Fe",0.12141,FALSE
"535","Cu",0.005,TRUE
"536","Mn",0.0405,FALSE
"537","B",0.20181,FALSE
"538","Ni",0.00239,FALSE
"539","Na",20.03,FALSE
"540","Cl",23.45,FALSE
"541","Al",0.00991,FALSE
"542","TOC",0.25,TRUE
"543","NH4",0.1,TRUE
"544","NO2",0.04,TRUE
"545","Ca",26,FALSE
"546","Mg",4.8,FALSE
"547","Fe",0.0545,FALSE
"548","Cu",1e-04,TRUE
"549","Mn",0.01,TRUE
"550","Ni",0.006,TRUE
"551","Al",0.019,FALSE
"552","NH4",0.01,TRUE
"553","NO2",0.008,TRUE
"554","NO3",6.8,FALSE
"555","PO4",0.02,TRUE
"556","K",1,TRUE
"557","Ca",53,FALSE
"558","Mg",14,FALSE
"559","SO4",21,FALSE
"560","Fe",0.01,TRUE
"561","Cu",0.001,TRUE
