component,percentage_of_total_conc,species_name
NA,0.163,Mg DOM1
NA,1.57,Ca DOM1
NA,0.126,H DOM1
NA,46.38,Ca DOM1
NA,0.132,Cu DOM1
NA,0.933,Mg DOM1
NA,0.051,Zn DOM1
NA,60.407,Cu DOM1
NA,5.985,Zn DOM1
Fe+3,0.02,Fe DOM1
NA,0.162,Mg DOM1
NA,1.558,Ca DOM1
NA,0.1,H DOM1
NA,46.277,Ca DOM1
NA,0.131,Cu DOM1
NA,0.927,Mg DOM1
NA,0.057,Zn DOM1
NA,60,Cu DOM1
NA,5.944,Zn DOM1
Fe+3,0.012,Fe DOM1
NA,0.051,H DOM1
NA,46.186,Ca DOM1
NA,0.194,Cu DOM1
NA,0.937,Mg DOM1
NA,0.057,Zn DOM1
NA,0.164,Mg DOM1
NA,1.575,Ca DOM1
NA,59.087,Cu DOM1
NA,5.995,Zn DOM1
NA,0.808,Mg DOM1
Fe+3,0.029,Fe DOM1
NA,7.659,Ca DOM1
NA,63.04,Cu DOM1
NA,18.593,Zn DOM1
NA,0.29,H DOM1
NA,16.966,Cu DOM1
NA,4.075,Mg DOM1
NA,13.608,Zn DOM1
NA,1.242,Mg DOM1
Fe+3,0.027,Fe DOM1
NA,11.351,Ca DOM1
NA,76.684,Cu DOM1
NA,27.645,Zn DOM1
NA,0.3,H DOM1
NA,10.169,Cu DOM1
NA,3.895,Mg DOM1
NA,18.021,Zn DOM1
NA,46.856,Ca DOM1
NA,0.011,Cu DOM1
NA,0.984,Mg DOM1
NA,0.034,Zn DOM1
NA,0.202,Mg DOM1
NA,1.947,Ca DOM1
NA,6.787,Zn DOM1
NA,41.296,Cu DOM1
NA,2.141,Mg DOM1
NA,17.949,Ca DOM1
NA,94.711,Cu DOM1
NA,46.392,Zn DOM1
NA,0.264,H DOM1
NA,22.921,Ca DOM1
NA,2.595,Cu DOM1
NA,0.668,Mg DOM1
NA,4.992,Zn DOM1
Fe+3,0.021,Fe DOM1
NA,15.517,Ca DOM1
NA,1.808,Mg DOM1
NA,61.413,Cu DOM1
NA,27.498,Zn DOM1
NA,32.301,Ca DOM1
NA,20.933,Ca DOM1
NA,2.582,Mg DOM1
NA,62.741,Cu DOM1
NA,30.19,Zn DOM1
NA,29.033,Ca DOM1
NA,5.484,Ca DOM1
NA,0.605,Mg DOM1
NA,68.833,Cu DOM1
NA,18.411,Zn DOM1
NA,0.077,H DOM1
NA,22.099,Ca DOM1
NA,6.928,Mg DOM1
NA,0.02,Zn DOM1
NA,24.071,Ca DOM1
NA,3.063,Mg DOM1
NA,0.143,H DOM1
NA,3.169,Ca DOM1
NA,17.545,Mg DOM1
NA,0.056,Zn DOM1
NA,90.887,Cu DOM1
NA,52.181,Zn DOM1
NA,4.572,Mg DOM1
NA,0.228,H DOM1
NA,3.176,Ca DOM1
NA,0.01,Cu DOM1
NA,13.094,Mg DOM1
NA,0.064,Zn DOM1
NA,91.449,Cu DOM1
NA,59.949,Zn DOM1
NA,32.779,Ca DOM1
NA,1.338,Ca DOM1
NA,0.138,Mg DOM1
Fe+3,0.165,Fe DOM1
NA,57.021,Cu DOM1
NA,5.135,Zn DOM1
NA,0.346,H DOM1
NA,47.069,Ca DOM1
NA,1.58,Mg DOM1
NA,0.011,H DOM1
NA,44.386,Ca DOM1
NA,0.07,Cu DOM1
NA,0.845,Mg DOM1
NA,0.143,Zn DOM1
NA,0.331,Mg DOM1
NA,3.176,Ca DOM1
NA,63.804,Cu DOM1
NA,11.219,Zn DOM1
NA,0.068,H DOM1
NA,42.078,Ca DOM1
NA,0.159,Cu DOM1
NA,2.647,Mg DOM1
NA,0.113,Zn DOM1
NA,0.3,Mg DOM1
NA,2.894,Ca DOM1
NA,72.483,Cu DOM1
NA,10.58,Zn DOM1
NA,0.017,H DOM1
NA,45.286,Ca DOM1
NA,0.955,Mg DOM1
NA,0.206,Mg DOM1
NA,1.962,Ca DOM1
NA,59.29,Cu DOM1
NA,7.323,Zn DOM1
