component,total_dissolved,total_precipitated,fate,percentage,cation_anion
Ca+2,0.0042435,4.221e-4,precipitated,9.047,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,3.147e-7,0,precipitated,0,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.436e-4,0,precipitated,0,anion
Fe+3,1.995e-13,8.952999999999999e-7,precipitated,100,cation
H+1,1.1374000000000002e-5,0,precipitated,0,cation
H3BO3,7.4006e-6,0,precipitated,0,anion
K+1,0.0026597,0,precipitated,0,cation
Mg+2,8.2263e-4,0,precipitated,0,cation
Mn+2,4.4693e-7,4.6318999999999995e-7,precipitated,50.893,cation
NH4+1,1e-16,0,precipitated,0,cation
NO2-1,1e-16,0,precipitated,0,anion
NO3-1,0.012208,0,precipitated,0,anion
PO4-3,4.5603e-6,2.5372000000000003e-4,precipitated,98.234,anion
SO4-2,9.999899999999999e-17,0,precipitated,0,anion
Zn+2,1.2238e-6,0,precipitated,0,cation
Ca+2,0.004265,4.2552000000000003e-4,precipitated,9.072,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,3.1471e-7,0,precipitated,0,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.436e-4,0,precipitated,0,anion
Fe+3,1.5858000000000002e-13,7.1624e-7,precipitated,100,cation
H+1,7.9763e-6,0,precipitated,0,cation
H3BO3,9.250700000000001e-6,0,precipitated,0,anion
K+1,0.0026597,0,precipitated,0,cation
Mg+2,8.2263e-4,0,precipitated,0,cation
Mn+2,6.0918e-7,1.1891e-7,precipitated,16.332,cation
NH4+1,1e-16,0,precipitated,0,cation
NO2-1,1e-16,0,precipitated,0,anion
NO3-1,0.013136,0,precipitated,0,anion
PO4-3,2.8516e-6,2.5543e-4,precipitated,98.896,anion
SO4-2,9.999899999999999e-17,0,precipitated,0,anion
Zn+2,1.3768e-6,0,precipitated,0,cation
Ca+2,0.0042114,4.2923e-4,precipitated,9.249,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,4.7205999999999995e-7,0,precipitated,0,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.436e-4,0,precipitated,0,anion
