Reference_ID,Treatment_ID,Include,source,condition,days,pH,temp_degC,EC_uScm,NH4-N,NO2-N,NO3-N,PO4-P,species_PO4_molL,species_CO3_molL,species_OH_molL,species_SO4_molL,K,Ca,Mg,S,B,Fe,Mn,Cu,Zn,Mo,Ni,Na,N,Ca_in_CaCO3,Ca_found_greater_CaCO3,CaCO3_diff,CaCO3_prop,Ca_in_CaOH2,Ca_found_greater_CaOH2,CaOH2_diff,CaOH2_prop,Ca_in_Ca3PO42,Ca_found_greater_Ca3PO42,Ca3PO42_diff,Ca3PO42_prop,Ca_in_CaSO4,Ca_found_greater_CaSO4,CaSO4_diff,CaSO4_prop,Mg_in_MgCO3,Mg_found_greater_MgCO3,MgCO3_diff,MgCO3_prop,Mg_in_MgOH2,Mg_found_greater_MgOH2,MgOH2_diff,MgOH2_prop,Mg_in_Mg3PO42,Mg_found_greater_Mg3PO42,Mg3PO42_diff,Mg3PO42_prop,Fe_in_FePO4,Fe_found_greater_FePO4,FePO4_diff,FePO4_prop,Mn_in_MnCO3,Mn_found_greater_MnCO3,MnCO3_diff,MnCO3_prop,Cu_in_Cu3PO42,Cu_found_greater_Cu3PO42,Cu3PO42_diff,Cu3PO42_prop,Zn_in_ZnCO3,Zn_found_greater_ZnCO3,ZnCO3_diff,ZnCO3_prop,Zn_in_ZnOH2,Zn_found_greater_ZnOH2,ZnOH2_diff,ZnOH2_prop,Ni_in_NiCO3,Ni_found_greater_NiCO3,NiCO3_diff,NiCO3_prop,Ni_in_NiOH2,Ni_found_greater_NiOH2,NiOH2_diff,NiOH2_prop,Ni_in_Ni3PO42,Ni_found_greater_Ni3PO42,Ni3PO42_diff,Ni3PO42_prop
Blanchard2020,pH5,Yes,waterTRANS,aerobic,NA,6.3,NA,NA,0,0,171,8,1.8036839221493233e-10,1.527118283744504e-7,1.9952623149688786e-8,NA,0.002659982607806026,0.004665901492090424,8.228759514503189e-4,NA,7.400555041628122e-6,8.953353030710002e-7,9.101168590046962e-7,3.1473263462688446e-7,1.2236157846436221e-6,NA,NA,0,0.012208181623473978,0.02200222494724677,FALSE,-0.017336323455156347,0.21206498448577527,12609669886.178106,FALSE,-12609669886.17344,3.700256655572625e-13,0.006748797191148779,FALSE,-0.002082895699058355,0.6913678630334119,NA,NA,NA,NA,44.659278017923505,FALSE,-44.658455141972055,1.8425643852103178e-5,14091.682880768758,FALSE,-14091.682057892807,5.839444148812889e-8,0.03173736187188107,FALSE,-0.030914485920430754,0.02592767334513009,5.49431077047632e-6,FALSE,-4.598975467405319e-6,0.16295680031098436,1.466814996483118e-4,FALSE,-1.457713827893071e-4,0.006204714713081207,1.6265561342734757e-6,FALSE,-1.3118234996465912e-6,0.19349632514678888,9.560490602077467e-4,FALSE,-9.548254444231031e-4,0.0012798671486353786,0.07535659294528749,FALSE,-0.07535536932950285,1.6237673928968977e-5,0.9298559352705481,NA,NA,NA,1.3765137644672514,NA,NA,NA,1.1336678343289718e-4,NA,NA,NA
Blanchard2020,pH5.8,Yes,waterTRANS,aerobic,NA,6.4,NA,NA,0,0,184,8,2.270703113853648e-10,2.4203193719895696e-7,2.511886431509582e-8,NA,0.002659982607806026,0.004690852836967912,8.228759514503189e-4,NA,9.250693802035154e-6,7.162682424568001e-7,7.28093487203757e-7,3.1473263462688446e-7,1.3765677577240748e-6,NA,NA,0,0.013136288998357963,0.013882465425370649,FALSE,-0.009191612588402736,0.3378976783471925,7956163826.1547785,FALSE,-7956163826.150087,5.895872608288165e-13,0.005788416369037739,FALSE,-0.0010975635320698267,0.8103862158325896,NA,NA,NA,NA,28.17809946459161,FALSE,-28.17727658864016,2.9202677507911368e-5,8891.250809706833,FALSE,-8891.249986830882,9.254895279210453e-8,0.027221008390978144,FALSE,-0.026398132439527825,0.030229444098149007,4.3642869644819275e-6,FALSE,-3.6480187220251272e-6,0.16412033587297034,9.254976950247099e-5,FALSE,-9.182167601526723e-5,0.007867048087940592,1.3950906933661586e-6,FALSE,-1.0803580587392742e-6,0.2256001248689278,6.032261762214628e-4,FALSE,-6.018496084637387e-4,0.0022820093225176864,0.047546795773833334,FALSE,-0.047545419206075606,2.8951851230354587e-5,0.58669943166745,NA,NA,NA,0.8685214694686889,NA,NA,NA,9.723423690799009e-5,NA,NA,NA
Blanchard2020,pH6.5,Yes,waterTRANS,aerobic,NA,6.7,NA,NA,0,0,183,8,4.530644387266669e-10,9.63546497018584e-7,5.011872336272725e-8,NA,0.002659982607806026,0.004640950147212935,8.228759514503189e-4,NA,1.2025901942645698e-5,7.162682424568001e-7,7.28093487203757e-7,4.720989519403267e-7,1.3765677577240748e-6,NA,NA,0,0.013064896123366887,0.003487117653788943,TRUE,0.0011538324934239918,1.3308843027336028,1998497996.1785548,FALSE,-1998497996.1739137,2.322219064561069e-12,0.003652245951415102,TRUE,9.887041957978332e-4,1.2707112853160256,NA,NA,NA,NA,7.0780185710835095,FALSE,-7.077195695132059,1.1625795315260839e-4,2233.381226805118,FALSE,-2233.3804039291663,3.6844401733753897e-7,0.01717530518730006,FALSE,-0.01635242923584974,0.047910412215485886,2.187326824381087e-6,FALSE,-1.4710585819242868e-6,0.3274628347592597,2.3247451025259624e-5,FALSE,-2.2519357538055866e-5,0.03131928254898327,8.802432326668415e-7,FALSE,-4.081442807265148e-7,0.5363278403288888,1.5152356471821005e-4,FALSE,-1.50146996960486e-4,0.009084842745642186,0.011943215116604908,FALSE,-0.011941838548847184,1.1525939575602244e-4,0.14737223417798512,NA,NA,NA,0.21816272946331633,NA,NA,NA,6.13506916996676e-5,NA,NA,NA
Blanchard2020,pH7,Yes,waterTRANS,aerobic,NA,6.9,NA,NA,0,0,187,8,7.180580079625508e-10,2.4203193719895695e-6,7.943282347242822e-8,NA,0.002659982607806026,0.004665901492090424,8.228759514503189e-4,NA,7.400555041628122e-6,5.372011818426001e-7,5.460701154028177e-7,4.720989519403267e-7,1.2236157846436221e-6,NA,NA,0,0.013350467623331192,0.0013882465425370649,TRUE,0.003277654949553359,3.361003502708777,795616382.6154776,FALSE,-795616382.6108117,5.8645115837759975e-12,0.0026867482832594975,TRUE,0.0019791532088309265,1.736635144111776,NA,NA,NA,NA,2.8178099464591613,FALSE,-2.816987070507711,2.9202677507911366e-4,889.125080970683,FALSE,-889.1242580947315,9.254895279210456e-7,0.012634888871204503,FALSE,-0.011812012919754184,0.0651272804880533,1.3801113406031175e-6,FALSE,-8.429101587605174e-7,0.38924481383352716,9.2549769502471e-6,FALSE,-8.708906834844282e-6,0.059002860659554436,6.475445590683961e-7,FALSE,-1.7544560712806942e-7,0.7290601786841079,6.032261762214627e-5,FALSE,-5.909900183750265e-5,0.020284527311268327,0.0047546795773833325,FALSE,-0.004753455961598689,2.5734978871426304e-4,0.058669943166745,NA,NA,NA,0.08685214694686887,NA,NA,NA,4.5132192024745206e-5,NA,NA,NA
Cerozi2020,System,Yes,waterTRANS,aerobic,NA,6.55,NA,670,0.4662,0,20.2762,2.7745,1.1123845291911847e-10,4.829172033119922e-7,3.548133892335753e-8,NA,4.252314696403908e-4,0.0015871000000000001,6.326000000000001e-4,NA,NA,3.5000000000000004e-7,NA,7e-8,9.000000000000001e-8,NA,NA,0,0.0014808595702148926,0.006957714442467786,FALSE,-0.005370614442467786,0.22810651588585204,3987527738.315896,FALSE,-3987527738.314309,3.980160400514983e-13,0.009314582062247775,FALSE,-0.007727482062247775,0.17038875060562886,NA,NA,NA,NA,14.122503719532826,FALSE,-14.121871119532827,4.479375701102145e-5,4456.181396803222,FALSE,-4456.180764203222,1.4196010971497144e-7,0.043803399809169474,FALSE,-0.04317079980916948,0.01444180138427466,8.908789847343134e-6,FALSE,-8.558789847343134e-6,0.039287041898780496,4.638476294978524e-5,NA,NA,NA,2.2449467901351843e-6,FALSE,-2.174946790135184e-6,0.03118113993061938,3.0232925851199306e-4,FALSE,-3.0223925851199305e-4,2.976886869731459e-4,0.023829847041728462,FALSE,-0.02382975704172846,3.7767762353824996e-6,0.29404626512810284,NA,NA,NA,0.4352918726289066,NA,NA,NA,1.564670233095338e-4,NA,NA,NA
Delaide2018,AER,Yes,waterREMIN,aerobic,42,6.54,28,1328,0,0,0,95.80291666666666,3.7536083317044996e-9,4.611823488251594e-7,3.4673685045253164e-8,NA,1.9801495956030718e-4,NA,7.242497624435496e-4,NA,3.0055210489993094e-5,NA,4.0441432679956115e-5,3.864442156388148e-5,1.0508456059083165e-4,NA,NA,1.76245572609209e-4,0,0.0072856214218940596,NA,NA,NA,4175454130.935409,NA,NA,NA,8.920051539722548e-4,NA,NA,NA,NA,NA,NA,NA,14.788076814677824,FALSE,-14.78735256491538,4.897525023163929e-5,4666.194755885985,FALSE,-4666.1940316362225,1.552120732916203e-7,0.004194805320321316,FALSE,-0.003470555557877766,0.1726539629705803,2.64012627963768e-7,NA,NA,NA,4.857080947929373e-5,FALSE,-8.129376799337618e-6,0.8326283443391393,2.149859321450666e-7,TRUE,3.8429435631736414e-5,179.75325724013086,3.165775974989681e-4,FALSE,-2.1149303690813648e-4,0.3319393457434213,0.02495291313308013,FALSE,-0.024847828572489298,0.004211314327525183,0.3079042386633799,NA,NA,NA,0.4558065465642638,NA,NA,NA,1.498396710513499e-5,NA,NA,NA
Delaide2018,ANR,Yes,waterREMIN,anaerobic,42,6.65,28,NA,0,0,0,50.15304761904762,2.531438611531518e-9,7.653721880515379e-7,4.4668359215096346e-8,NA,2.0687326595685083e-4,NA,4.506246999931427e-4,NA,1.1930458276434225e-6,NA,1.7612581455458882e-05,1.904731930225273e-5,9.359360660752525e-5,NA,NA,1.0103109012199923e-4,0,0.004390021028270951,NA,NA,NA,2515959912.808903,NA,NA,NA,0.0011599031645549282,NA,NA,NA,NA,NA,NA,NA,8.910697444288061,FALSE,-8.910246819588068,5.057120419704098e-5,2811.6603806489934,FALSE,-2811.6599300242933,1.6026996115694762e-7,0.00545464109043016,FALSE,-0.005004016390437018,0.0826130798566631,3.9147700263623846e-7,NA,NA,NA,2.9266806855139675e-5,FALSE,-1.1654225399680793e-5,0.601793750258951,2.7955316392444305e-7,TRUE,1.8767766138328287e-5,68.13487293386811,1.9075686610939253e-4,FALSE,-9.716325950186728e-5,0.49064344847148267,0.015035617008818147,FALSE,-0.014942023402210621,0.006224793206200591,0.18553065059954615,NA,NA,NA,0.2746506040277448,NA,NA,NA,1.9484137266962037e-5,NA,NA,NA
Delaide2019,AP,Yes,waterRAS,aerobic,NA,7.85,NA,NA,3.64,0,21.28,2.1700000000000004,1.7358800954355924e-9,1.92252801422145e-4,7.079457843841374e-7,0.0010280711541593192,2.992480433781779e-4,0.0035730325864564098,7.010903106356716e-4,0.0010280723643169057,6.176688251618872e-6,1.042886561017101e-6,6.206996978412028e-7,1.5107166462090452e-7,7.257571122667483e-7,NA,NA,NA,0.0017791104447776114,1.747698850235309e-5,TRUE,0.0035555555979540567,204.44212033299326,10016216.821143791,FALSE,-10016216.817570759,3.567247644753352e-10,0.0014916039260057703,TRUE,0.0020814286604506392,2.395429861883179,0.04795387926267993,FALSE,-0.04438084667622352,0.07450977150115819,0.03547412547203812,FALSE,-0.03477303516140245,0.019763427605517556,11.19342158697543,FALSE,-11.192720496664796,6.263413784498694e-5,0.007014520103115668,FALSE,-0.006313429792479996,0.09994843557783312,5.708919657560355e-7,TRUE,4.719945952610655e-7,1.826766925395421,1.1651325668235395e-7,TRUE,5.041864411588489e-7,5.327288203207596,3.5949776634762116e-7,FALSE,-2.0842610172671664e-7,0.420229772651282,7.594167623046284e-7,FALSE,-3.365965003788011e-8,0.9556769725022503,5.9857869449066474e-5,FALSE,-5.913211233679972e-5,0.012124673312742959,7.386108236113509e-4,NA,NA,NA,0.0010934037486029476,NA,NA,NA,2.5056070653439132e-5,NA,NA,NA
Delaide2021,AE,Yes,waterREMIN,aerobic,45,6.8,20.48,NA,0,0,0,NA,NA,1.527118283744504e-6,6.30957344480193e-8,NA,7.161491636400839e-6,1.8339238484954337e-4,4.484673935404238e-5,NA,9.324699352451434e-4,4.781090518399141e-8,1.2559612654264807e-5,3.934157932836056e-6,1.544814928112573e-5,NA,NA,3.792953458025229e-4,0,0.0022002224947246774,FALSE,-0.002016830109875134,0.08335174523906137,1260966988.6178105,FALSE,-1260966988.6176271,1.454378952858759e-13,NA,NA,NA,NA,NA,NA,NA,NA,4.4659278017923505,FALSE,-4.465882955052996,1.0041975899396234e-5,1409.1682880768758,FALSE,-1409.1682432301363,3.182497061103025e-8,NA,NA,NA,NA,NA,NA,NA,NA,1.4668149964831183e-5,FALSE,-2.1085373105663765e-6,0.8562506304052064,NA,NA,NA,NA,9.560490602077467e-5,FALSE,-8.015675673964894e-5,0.16158322751521653,0.007535659294528748,FALSE,-0.007520211145247622,0.0020500063335323333,0.09298559352705481,NA,NA,NA,0.13765137644672512,NA,NA,NA,NA,NA,NA,NA
Goddek2016,AER,Yes,waterREMIN,aerobic,35,8.4,22.9,895.5,0,0,2.875,0.01,2.8381318704341937e-11,0.00242031937198957,2.5118864315095823e-6,8.234557467762057e-5,2.557675584428871e-7,2.9941613852986677e-4,NA,8.234560199625701e-5,NA,NA,NA,NA,NA,NA,NA,5.437146585471944e-5,2.0525451559934318e-4,1.3882465425370646e-6,TRUE,2.980278919873297e-4,215.6793691577825,795616.3826154777,FALSE,-795616.3823160615,3.7633229414605324e-10,0.023155008937117114,FALSE,-0.022855592798587246,0.0129309446324552,0.598696410742258,FALSE,-0.5983969946037281,5.001134684583352e-4,0.0028178099464591607,NA,NA,NA,0.8891250809706831,NA,NA,NA,0.10889035141665523,NA,NA,NA,3.4917334544021417e-5,NA,NA,NA,9.254976950247098e-9,NA,NA,NA,5.580686566670115e-6,NA,NA,NA,6.032261762214626e-8,NA,NA,NA,4.754679577383333e-6,NA,NA,NA,5.866994316674499e-5,NA,NA,NA,8.685214694686887e-5,NA,NA,NA,3.8895951518645743e-4,NA,NA,NA
